Region,Date,New Cases,Estimated Effective R,95% CI Low,95% CI High
San Francisco,2/2/20,2,NA,NA,NA
San Francisco,2/3/20,0,NA,NA,NA
San Francisco,2/4/20,0,NA,NA,NA
San Francisco,2/5/20,0,NA,NA,NA
San Francisco,2/6/20,0,NA,NA,NA
San Francisco,2/7/20,0,NA,NA,NA
San Francisco,2/8/20,0,NA,NA,NA
San Francisco,2/9/20,0,NA,NA,NA
San Francisco,2/10/20,0,NA,NA,NA
San Francisco,2/11/20,0,NA,NA,NA
San Francisco,2/12/20,0,NA,NA,NA
San Francisco,2/13/20,0,NA,NA,NA
San Francisco,2/14/20,0,NA,NA,NA
San Francisco,2/15/20,0,NA,NA,NA
San Francisco,2/16/20,0,NA,NA,NA
San Francisco,2/17/20,0,NA,NA,NA
San Francisco,2/18/20,0,NA,NA,NA
San Francisco,2/19/20,0,NA,NA,NA
San Francisco,2/20/20,0,NA,NA,NA
San Francisco,2/21/20,0,NA,NA,NA
San Francisco,2/22/20,0,NA,NA,NA
San Francisco,2/23/20,0,NA,NA,NA
San Francisco,2/24/20,1,NA,NA,NA
San Francisco,2/25/20,0,NA,NA,NA
San Francisco,2/26/20,0,NA,NA,NA
San Francisco,2/27/20,0,NA,NA,NA
San Francisco,2/28/20,0,NA,NA,NA
San Francisco,2/29/20,0,NA,NA,NA
San Francisco,3/1/20,0,NA,NA,NA
San Francisco,3/2/20,0,NA,NA,NA
San Francisco,3/3/20,0,NA,NA,NA
San Francisco,3/4/20,0,NA,NA,NA
San Francisco,3/5/20,2,NA,NA,NA
San Francisco,3/6/20,0,NA,NA,NA
San Francisco,3/7/20,6,NA,NA,NA
San Francisco,3/8/20,0,NA,NA,NA
San Francisco,3/9/20,5,1.065808095,0.157813746,1.973802444
San Francisco,3/10/20,1,1.105296335,-0.96095336,3.171546031
San Francisco,3/11/20,0,NA,NA,NA
San Francisco,3/12/20,4,1.184593786,0.116089115,2.253098458
San Francisco,3/13/20,5,1.223866462,0.252804441,2.194928483
San Francisco,3/14/20,5,1.262331631,0.276424279,2.248238984
San Francisco,3/15/20,6,1.299368782,0.386484631,2.212252932
San Francisco,3/16/20,6,1.334145686,0.409320165,2.258971206
San Francisco,3/17/20,3,1.365636849,0.042620266,2.688653431
San Francisco,3/18/20,5,1.392733874,0.357958993,2.427508754
San Francisco,3/19/20,22,1.414382373,0.917309682,1.911455064
San Francisco,3/20/20,6,1.429677611,0.472806311,2.38654891
San Francisco,3/21/20,5,1.437959628,0.386794707,2.48912455
San Francisco,3/22/20,27,1.438944475,0.986459584,1.891429365
San Francisco,3/23/20,23,1.432859382,0.943654331,1.922064433
